57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57630.0, {'gneJ207': -0.008928572}, {'gneJ207': 1}, {'gneJ207': 1}, 
57640.0, {'gneJ207': -0.10714286}, {'gneJ207': 2}, {'gneJ207': 3}, 
57650.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57660.0, {'gneJ207': -0.12946428}, {'gneJ207': 3}, {'gneJ207': 6}, 
57670.0, {'gneJ207': -0.0625}, {'gneJ207': 1}, {'gneJ207': 1}, 
57680.0, {'gneJ207': -0.008928572}, {'gneJ207': 1}, {'gneJ207': 1}, 
57690.0, {'gneJ207': -0.23214285}, {'gneJ207': 8}, {'gneJ207': 8}, 
57700.0, {'gneJ207': -0.65178573}, {'gneJ207': 14}, {'gneJ207': 14}, 
57710.0, {'gneJ207': -1.4375}, {'gneJ207': 17}, {'gneJ207': 19}, 
57720.0, {'gneJ207': -1.8973215}, {'gneJ207': 15}, {'gneJ207': 17}, 
57730.0, {'gneJ207': -2.3482144}, {'gneJ207': 15}, {'gneJ207': 18}, 
57740.0, {'gneJ207': -2.9732144}, {'gneJ207': 15}, {'gneJ207': 20}, 
57750.0, {'gneJ207': -3.4598215}, {'gneJ207': 16}, {'gneJ207': 20}, 
57760.0, {'gneJ207': -3.46875}, {'gneJ207': 15}, {'gneJ207': 18}, 
57770.0, {'gneJ207': -3.96875}, {'gneJ207': 16}, {'gneJ207': 19}, 
57780.0, {'gneJ207': -4.0}, {'gneJ207': 15}, {'gneJ207': 19}, 
57790.0, {'gneJ207': -4.0}, {'gneJ207': 14}, {'gneJ207': 16}, 
57800.0, {'gneJ207': -4.0}, {'gneJ207': 14}, {'gneJ207': 16}, 
57810.0, {'gneJ207': -4.0}, {'gneJ207': 13}, {'gneJ207': 14}, 
57820.0, {'gneJ207': -4.0}, {'gneJ207': 13}, {'gneJ207': 15}, 
57830.0, {'gneJ207': -4.0}, {'gneJ207': 12}, {'gneJ207': 15}, 
57840.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 21}, 
57850.0, {'gneJ207': -4.0}, {'gneJ207': 13}, {'gneJ207': 20}, 
57860.0, {'gneJ207': -4.0}, {'gneJ207': 12}, {'gneJ207': 23}, 
57870.0, {'gneJ207': -4.0}, {'gneJ207': 10}, {'gneJ207': 21}, 
57880.0, {'gneJ207': -4.0}, {'gneJ207': 8}, {'gneJ207': 13}, 
57890.0, {'gneJ207': -3.9732144}, {'gneJ207': 8}, {'gneJ207': 9}, 
57900.0, {'gneJ207': -4.0}, {'gneJ207': 9}, {'gneJ207': 9}, 
57910.0, {'gneJ207': -4.0}, {'gneJ207': 11}, {'gneJ207': 11}, 
57920.0, {'gneJ207': -4.0}, {'gneJ207': 11}, {'gneJ207': 14}, 
57930.0, {'gneJ207': -3.7232144}, {'gneJ207': 10}, {'gneJ207': 10}, 
57940.0, {'gneJ207': -1.9732143}, {'gneJ207': 7}, {'gneJ207': 7}, 
57950.0, {'gneJ207': -0.7723214}, {'gneJ207': 4}, {'gneJ207': 5}, 
57960.0, {'gneJ207': -1.0223215}, {'gneJ207': 4}, {'gneJ207': 6}, 
57970.0, {'gneJ207': -0.47767857}, {'gneJ207': 2}, {'gneJ207': 2}, 
57980.0, {'gneJ207': -0.008928572}, {'gneJ207': 1}, {'gneJ207': 1}, 
57990.0, {'gneJ207': -0.12053572}, {'gneJ207': 2}, {'gneJ207': 3}, 
