57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57630.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57640.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57650.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57660.0, {'gneJ207': -0.017857144}, {'gneJ207': 1}, {'gneJ207': 2}, 
57670.0, {'gneJ207': -0.25892857}, {'gneJ207': 3}, {'gneJ207': 8}, 
57680.0, {'gneJ207': -0.0625}, {'gneJ207': 1}, {'gneJ207': 1}, 
57690.0, {'gneJ207': -0.16964285}, {'gneJ207': 5}, {'gneJ207': 5}, 
57700.0, {'gneJ207': -0.19196428}, {'gneJ207': 6}, {'gneJ207': 8}, 
57710.0, {'gneJ207': -0.2544643}, {'gneJ207': 5}, {'gneJ207': 5}, 
57720.0, {'gneJ207': -0.47767857}, {'gneJ207': 5}, {'gneJ207': 5}, 
57730.0, {'gneJ207': -0.73660713}, {'gneJ207': 8}, {'gneJ207': 9}, 
57740.0, {'gneJ207': -0.83035713}, {'gneJ207': 11}, {'gneJ207': 12}, 
57750.0, {'gneJ207': -1.0625}, {'gneJ207': 9}, {'gneJ207': 13}, 
57760.0, {'gneJ207': -1.1830357}, {'gneJ207': 7}, {'gneJ207': 11}, 
57770.0, {'gneJ207': -0.9776786}, {'gneJ207': 6}, {'gneJ207': 6}, 
57780.0, {'gneJ207': -1.1339285}, {'gneJ207': 5}, {'gneJ207': 6}, 
57790.0, {'gneJ207': -1.4375}, {'gneJ207': 6}, {'gneJ207': 7}, 
57800.0, {'gneJ207': -1.2410715}, {'gneJ207': 9}, {'gneJ207': 9}, 
57810.0, {'gneJ207': -1.6473215}, {'gneJ207': 10}, {'gneJ207': 10}, 
57820.0, {'gneJ207': -0.96875}, {'gneJ207': 8}, {'gneJ207': 8}, 
57830.0, {'gneJ207': -0.9151786}, {'gneJ207': 7}, {'gneJ207': 7}, 
57840.0, {'gneJ207': -0.6964286}, {'gneJ207': 4}, {'gneJ207': 6}, 
57850.0, {'gneJ207': -0.3705357}, {'gneJ207': 2}, {'gneJ207': 2}, 
57860.0, {'gneJ207': -0.03125}, {'gneJ207': 1}, {'gneJ207': 1}, 
