57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57630.0, {'gneJ207': -0.04464286}, {'gneJ207': 1}, {'gneJ207': 1}, 
57640.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57650.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57660.0, {'gneJ207': -0.017857144}, {'gneJ207': 1}, {'gneJ207': 1}, 
57670.0, {'gneJ207': -0.14732143}, {'gneJ207': 2}, {'gneJ207': 3}, 
57680.0, {'gneJ207': -0.32142857}, {'gneJ207': 3}, {'gneJ207': 6}, 
57690.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57700.0, {'gneJ207': -0.02232143}, {'gneJ207': 2}, {'gneJ207': 2}, 
57710.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57720.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57730.0, {'gneJ207': -0.20089285}, {'gneJ207': 5}, {'gneJ207': 9}, 
57740.0, {'gneJ207': -0.24107143}, {'gneJ207': 7}, {'gneJ207': 8}, 
57750.0, {'gneJ207': -0.39285713}, {'gneJ207': 5}, {'gneJ207': 6}, 
57760.0, {'gneJ207': -0.40625}, {'gneJ207': 3}, {'gneJ207': 4}, 
57770.0, {'gneJ207': -0.47767857}, {'gneJ207': 5}, {'gneJ207': 6}, 
57780.0, {'gneJ207': -0.9464286}, {'gneJ207': 10}, {'gneJ207': 13}, 
57790.0, {'gneJ207': -1.0267857}, {'gneJ207': 10}, {'gneJ207': 12}, 
57800.0, {'gneJ207': -1.5803572}, {'gneJ207': 10}, {'gneJ207': 13}, 
57810.0, {'gneJ207': -1.2455357}, {'gneJ207': 9}, {'gneJ207': 9}, 
57820.0, {'gneJ207': -1.65625}, {'gneJ207': 9}, {'gneJ207': 10}, 
57830.0, {'gneJ207': -1.6339285}, {'gneJ207': 8}, {'gneJ207': 11}, 
57840.0, {'gneJ207': -1.5401785}, {'gneJ207': 6}, {'gneJ207': 11}, 
57850.0, {'gneJ207': -2.0892856}, {'gneJ207': 6}, {'gneJ207': 13}, 
57860.0, {'gneJ207': -2.919643}, {'gneJ207': 10}, {'gneJ207': 22}, 
57870.0, {'gneJ207': -2.5848215}, {'gneJ207': 7}, {'gneJ207': 18}, 
57880.0, {'gneJ207': -3.419643}, {'gneJ207': 7}, {'gneJ207': 20}, 
57890.0, {'gneJ207': -1.7857143}, {'gneJ207': 6}, {'gneJ207': 11}, 
57900.0, {'gneJ207': -1.2410715}, {'gneJ207': 6}, {'gneJ207': 7}, 
57910.0, {'gneJ207': -1.5}, {'gneJ207': 6}, {'gneJ207': 6}, 
57920.0, {'gneJ207': -1.9285715}, {'gneJ207': 8}, {'gneJ207': 11}, 
57930.0, {'gneJ207': -2.4776785}, {'gneJ207': 9}, {'gneJ207': 13}, 
57940.0, {'gneJ207': -1.7321428}, {'gneJ207': 7}, {'gneJ207': 8}, 
57950.0, {'gneJ207': -1.1875}, {'gneJ207': 5}, {'gneJ207': 6}, 
57960.0, {'gneJ207': -0.59375}, {'gneJ207': 3}, {'gneJ207': 3}, 
57970.0, {'gneJ207': -0.4642857}, {'gneJ207': 2}, {'gneJ207': 2}, 
57980.0, {'gneJ207': -0.013392857}, {'gneJ207': 1}, {'gneJ207': 1}, 
57990.0, {'gneJ207': -0.13392857}, {'gneJ207': 2}, {'gneJ207': 3}, 
58000.0, {'gneJ207': -0.04464286}, {'gneJ207': 2}, {'gneJ207': 2}, 
58010.0, {'gneJ207': -0.03125}, {'gneJ207': 1}, {'gneJ207': 1}, 
58020.0, {'gneJ207': -0.10714286}, {'gneJ207': 1}, {'gneJ207': 2}, 
58030.0, {'gneJ207': -0.21428572}, {'gneJ207': 1}, {'gneJ207': 3}, 
58040.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58050.0, {'gneJ207': -0.02232143}, {'gneJ207': 1}, {'gneJ207': 1}, 
58060.0, {'gneJ207': -0.06696428}, {'gneJ207': 1}, {'gneJ207': 1}, 
58070.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58080.0, {'gneJ207': -0.06696428}, {'gneJ207': 1}, {'gneJ207': 2}, 
58090.0, {'gneJ207': -0.15625}, {'gneJ207': 1}, {'gneJ207': 2}, 
58100.0, {'gneJ207': -0.017857144}, {'gneJ207': 1}, {'gneJ207': 1}, 
58110.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 1}, 
