57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': -0.008928572}, {'gneJ207': 1}, {'gneJ207': 1}, 
57630.0, {'gneJ207': -0.0625}, {'gneJ207': 1}, {'gneJ207': 2}, 
57640.0, {'gneJ207': -0.19642857}, {'gneJ207': 2}, {'gneJ207': 4}, 
57650.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57660.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 2}, 
57670.0, {'gneJ207': -0.25892857}, {'gneJ207': 4}, {'gneJ207': 7}, 
57680.0, {'gneJ207': -0.125}, {'gneJ207': 3}, {'gneJ207': 3}, 
57690.0, {'gneJ207': -0.071428575}, {'gneJ207': 1}, {'gneJ207': 3}, 
57700.0, {'gneJ207': -0.25}, {'gneJ207': 2}, {'gneJ207': 5}, 
57710.0, {'gneJ207': -0.38392857}, {'gneJ207': 4}, {'gneJ207': 9}, 
57720.0, {'gneJ207': -0.22321428}, {'gneJ207': 4}, {'gneJ207': 4}, 
57730.0, {'gneJ207': -0.4732143}, {'gneJ207': 5}, {'gneJ207': 8}, 
57740.0, {'gneJ207': -0.62053573}, {'gneJ207': 8}, {'gneJ207': 11}, 
57750.0, {'gneJ207': -0.55803573}, {'gneJ207': 7}, {'gneJ207': 8}, 
57760.0, {'gneJ207': -0.88839287}, {'gneJ207': 9}, {'gneJ207': 10}, 
57770.0, {'gneJ207': -0.96875}, {'gneJ207': 11}, {'gneJ207': 12}, 
57780.0, {'gneJ207': -1.4017857}, {'gneJ207': 15}, {'gneJ207': 17}, 
57790.0, {'gneJ207': -2.1607144}, {'gneJ207': 15}, {'gneJ207': 17}, 
57800.0, {'gneJ207': -2.59375}, {'gneJ207': 14}, {'gneJ207': 16}, 
57810.0, {'gneJ207': -3.017857}, {'gneJ207': 13}, {'gneJ207': 14}, 
57820.0, {'gneJ207': -2.875}, {'gneJ207': 11}, {'gneJ207': 11}, 
57830.0, {'gneJ207': -2.5267856}, {'gneJ207': 9}, {'gneJ207': 9}, 
57840.0, {'gneJ207': -3.0223215}, {'gneJ207': 9}, {'gneJ207': 13}, 
57850.0, {'gneJ207': -3.6875}, {'gneJ207': 12}, {'gneJ207': 18}, 
57860.0, {'gneJ207': -4.0}, {'gneJ207': 14}, {'gneJ207': 25}, 
57870.0, {'gneJ207': -4.0}, {'gneJ207': 13}, {'gneJ207': 22}, 
57880.0, {'gneJ207': -4.0}, {'gneJ207': 12}, {'gneJ207': 22}, 
57890.0, {'gneJ207': -3.59375}, {'gneJ207': 10}, {'gneJ207': 14}, 
57900.0, {'gneJ207': -3.6517856}, {'gneJ207': 10}, {'gneJ207': 12}, 
57910.0, {'gneJ207': -2.9017856}, {'gneJ207': 9}, {'gneJ207': 10}, 
57920.0, {'gneJ207': -2.1205356}, {'gneJ207': 7}, {'gneJ207': 10}, 
57930.0, {'gneJ207': -1.4285715}, {'gneJ207': 5}, {'gneJ207': 5}, 
57940.0, {'gneJ207': -0.4419643}, {'gneJ207': 2}, {'gneJ207': 2}, 
57950.0, {'gneJ207': -0.06696428}, {'gneJ207': 1}, {'gneJ207': 2}, 
57960.0, {'gneJ207': -0.12946428}, {'gneJ207': 2}, {'gneJ207': 4}, 
57970.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57980.0, {'gneJ207': -0.008928572}, {'gneJ207': 1}, {'gneJ207': 1}, 
57990.0, {'gneJ207': -0.017857144}, {'gneJ207': 1}, {'gneJ207': 1}, 
58000.0, {'gneJ207': -0.0625}, {'gneJ207': 1}, {'gneJ207': 1}, 
58010.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 1}, 
58020.0, {'gneJ207': -0.102678575}, {'gneJ207': 1}, {'gneJ207': 2}, 
58030.0, {'gneJ207': -0.19196428}, {'gneJ207': 1}, {'gneJ207': 2}, 
58040.0, {'gneJ207': -0.35267857}, {'gneJ207': 3}, {'gneJ207': 5}, 
58050.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 1}, 
58060.0, {'gneJ207': -0.071428575}, {'gneJ207': 1}, {'gneJ207': 1}, 
58070.0, {'gneJ207': -0.116071425}, {'gneJ207': 1}, {'gneJ207': 1}, 
