57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57630.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57640.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57650.0, {'gneJ207': -0.035714287}, {'gneJ207': 1}, {'gneJ207': 3}, 
57660.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57670.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 1}, 
57680.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57690.0, {'gneJ207': -0.12053572}, {'gneJ207': 3}, {'gneJ207': 7}, 
57700.0, {'gneJ207': -0.62053573}, {'gneJ207': 8}, {'gneJ207': 14}, 
57710.0, {'gneJ207': -0.6651786}, {'gneJ207': 13}, {'gneJ207': 13}, 
57720.0, {'gneJ207': -1.0044643}, {'gneJ207': 13}, {'gneJ207': 13}, 
57730.0, {'gneJ207': -1.4464285}, {'gneJ207': 12}, {'gneJ207': 15}, 
57740.0, {'gneJ207': -1.9732143}, {'gneJ207': 12}, {'gneJ207': 17}, 
57750.0, {'gneJ207': -2.15625}, {'gneJ207': 11}, {'gneJ207': 13}, 
57760.0, {'gneJ207': -2.0625}, {'gneJ207': 9}, {'gneJ207': 10}, 
57770.0, {'gneJ207': -1.9821428}, {'gneJ207': 8}, {'gneJ207': 12}, 
57780.0, {'gneJ207': -1.8482143}, {'gneJ207': 9}, {'gneJ207': 14}, 
57790.0, {'gneJ207': -2.1473215}, {'gneJ207': 12}, {'gneJ207': 13}, 
57800.0, {'gneJ207': -1.7633928}, {'gneJ207': 9}, {'gneJ207': 11}, 
57810.0, {'gneJ207': -1.5223215}, {'gneJ207': 6}, {'gneJ207': 8}, 
57820.0, {'gneJ207': -0.7589286}, {'gneJ207': 3}, {'gneJ207': 6}, 
57830.0, {'gneJ207': -0.48214287}, {'gneJ207': 2}, {'gneJ207': 5}, 
57840.0, {'gneJ207': -0.51785713}, {'gneJ207': 4}, {'gneJ207': 10}, 
57850.0, {'gneJ207': -0.11160714}, {'gneJ207': 2}, {'gneJ207': 2}, 
57860.0, {'gneJ207': -0.102678575}, {'gneJ207': 4}, {'gneJ207': 5}, 
