57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57630.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57640.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57650.0, {'gneJ207': -0.04017857}, {'gneJ207': 1}, {'gneJ207': 3}, 
57660.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57670.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 1}, 
57680.0, {'gneJ207': -0.084821425}, {'gneJ207': 2}, {'gneJ207': 2}, 
57690.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57700.0, {'gneJ207': -0.13392857}, {'gneJ207': 4}, {'gneJ207': 6}, 
57710.0, {'gneJ207': -0.17410715}, {'gneJ207': 6}, {'gneJ207': 6}, 
57720.0, {'gneJ207': -0.2857143}, {'gneJ207': 6}, {'gneJ207': 6}, 
57730.0, {'gneJ207': -0.48214287}, {'gneJ207': 5}, {'gneJ207': 7}, 
57740.0, {'gneJ207': -0.6651786}, {'gneJ207': 5}, {'gneJ207': 8}, 
57750.0, {'gneJ207': -0.5223214}, {'gneJ207': 3}, {'gneJ207': 4}, 
57760.0, {'gneJ207': -0.4732143}, {'gneJ207': 2}, {'gneJ207': 3}, 
57770.0, {'gneJ207': -0.375}, {'gneJ207': 1}, {'gneJ207': 3}, 
57780.0, {'gneJ207': -0.29464287}, {'gneJ207': 2}, {'gneJ207': 4}, 
57790.0, {'gneJ207': -0.25892857}, {'gneJ207': 5}, {'gneJ207': 7}, 
57800.0, {'gneJ207': -0.16517857}, {'gneJ207': 3}, {'gneJ207': 3}, 
57810.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57820.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57830.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57840.0, {'gneJ207': -0.04910714}, {'gneJ207': 2}, {'gneJ207': 2}, 
57850.0, {'gneJ207': -0.15625}, {'gneJ207': 3}, {'gneJ207': 4}, 
57860.0, {'gneJ207': -0.15178572}, {'gneJ207': 2}, {'gneJ207': 4}, 
