57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': -0.004464286}, {'gneJ207': 1}, {'gneJ207': 1}, 
57630.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57640.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57650.0, {'gneJ207': -0.02232143}, {'gneJ207': 1}, {'gneJ207': 2}, 
57660.0, {'gneJ207': -0.17857143}, {'gneJ207': 3}, {'gneJ207': 5}, 
57670.0, {'gneJ207': -0.44642857}, {'gneJ207': 3}, {'gneJ207': 6}, 
57680.0, {'gneJ207': -0.83928573}, {'gneJ207': 4}, {'gneJ207': 13}, 
57690.0, {'gneJ207': -1.21875}, {'gneJ207': 6}, {'gneJ207': 13}, 
57700.0, {'gneJ207': -1.7455357}, {'gneJ207': 6}, {'gneJ207': 13}, 
57710.0, {'gneJ207': -1.03125}, {'gneJ207': 4}, {'gneJ207': 8}, 
57720.0, {'gneJ207': -1.3928572}, {'gneJ207': 4}, {'gneJ207': 9}, 
57730.0, {'gneJ207': -1.8571428}, {'gneJ207': 5}, {'gneJ207': 11}, 
57740.0, {'gneJ207': -0.71428573}, {'gneJ207': 2}, {'gneJ207': 6}, 
57750.0, {'gneJ207': -1.03125}, {'gneJ207': 6}, {'gneJ207': 12}, 
57760.0, {'gneJ207': -1.2678572}, {'gneJ207': 9}, {'gneJ207': 16}, 
57770.0, {'gneJ207': -0.57589287}, {'gneJ207': 9}, {'gneJ207': 10}, 
57780.0, {'gneJ207': -0.95089287}, {'gneJ207': 8}, {'gneJ207': 12}, 
57790.0, {'gneJ207': -1.1696428}, {'gneJ207': 7}, {'gneJ207': 10}, 
57800.0, {'gneJ207': -1.0625}, {'gneJ207': 6}, {'gneJ207': 6}, 
57810.0, {'gneJ207': -1.3303572}, {'gneJ207': 6}, {'gneJ207': 6}, 
57820.0, {'gneJ207': -1.0848215}, {'gneJ207': 7}, {'gneJ207': 8}, 
57830.0, {'gneJ207': -1.5089285}, {'gneJ207': 9}, {'gneJ207': 11}, 
57840.0, {'gneJ207': -1.2991072}, {'gneJ207': 8}, {'gneJ207': 13}, 
57850.0, {'gneJ207': -1.6607143}, {'gneJ207': 6}, {'gneJ207': 13}, 
57860.0, {'gneJ207': -2.3705356}, {'gneJ207': 7}, {'gneJ207': 18}, 
57870.0, {'gneJ207': -3.236607}, {'gneJ207': 8}, {'gneJ207': 20}, 
57880.0, {'gneJ207': -1.6830357}, {'gneJ207': 7}, {'gneJ207': 12}, 
57890.0, {'gneJ207': -2.21875}, {'gneJ207': 7}, {'gneJ207': 12}, 
57900.0, {'gneJ207': -1.2053572}, {'gneJ207': 6}, {'gneJ207': 8}, 
57910.0, {'gneJ207': -1.2678572}, {'gneJ207': 6}, {'gneJ207': 6}, 
57920.0, {'gneJ207': -0.6026786}, {'gneJ207': 3}, {'gneJ207': 5}, 
57930.0, {'gneJ207': -0.87946427}, {'gneJ207': 5}, {'gneJ207': 8}, 
57940.0, {'gneJ207': -0.6160714}, {'gneJ207': 3}, {'gneJ207': 6}, 
57950.0, {'gneJ207': -0.09375}, {'gneJ207': 1}, {'gneJ207': 1}, 
57960.0, {'gneJ207': -0.14285715}, {'gneJ207': 2}, {'gneJ207': 2}, 
57970.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57980.0, {'gneJ207': -0.013392857}, {'gneJ207': 1}, {'gneJ207': 1}, 
57990.0, {'gneJ207': -0.125}, {'gneJ207': 2}, {'gneJ207': 3}, 
58000.0, {'gneJ207': -0.25892857}, {'gneJ207': 2}, {'gneJ207': 3}, 
58010.0, {'gneJ207': -0.013392857}, {'gneJ207': 1}, {'gneJ207': 1}, 
58020.0, {'gneJ207': -0.058035713}, {'gneJ207': 1}, {'gneJ207': 1}, 
58030.0, {'gneJ207': -0.008928572}, {'gneJ207': 1}, {'gneJ207': 1}, 
58040.0, {'gneJ207': -0.13392857}, {'gneJ207': 2}, {'gneJ207': 5}, 
58050.0, {'gneJ207': -0.42857143}, {'gneJ207': 3}, {'gneJ207': 7}, 
58060.0, {'gneJ207': -0.50446427}, {'gneJ207': 3}, {'gneJ207': 5}, 
58070.0, {'gneJ207': -0.7589286}, {'gneJ207': 4}, {'gneJ207': 7}, 
58080.0, {'gneJ207': -1.1741072}, {'gneJ207': 5}, {'gneJ207': 10}, 
58090.0, {'gneJ207': -1.6339285}, {'gneJ207': 5}, {'gneJ207': 11}, 
58100.0, {'gneJ207': -2.1205356}, {'gneJ207': 6}, {'gneJ207': 12}, 
58110.0, {'gneJ207': -0.8348214}, {'gneJ207': 3}, {'gneJ207': 6}, 
58120.0, {'gneJ207': -1.1071428}, {'gneJ207': 4}, {'gneJ207': 7}, 
58130.0, {'gneJ207': -1.5357143}, {'gneJ207': 6}, {'gneJ207': 11}, 
58140.0, {'gneJ207': -2.0267856}, {'gneJ207': 6}, {'gneJ207': 11}, 
58150.0, {'gneJ207': -0.61160713}, {'gneJ207': 3}, {'gneJ207': 5}, 
58160.0, {'gneJ207': -0.84375}, {'gneJ207': 3}, {'gneJ207': 6}, 
58170.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58180.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58190.0, {'gneJ207': -0.06696428}, {'gneJ207': 2}, {'gneJ207': 4}, 
58200.0, {'gneJ207': -0.3125}, {'gneJ207': 3}, {'gneJ207': 7}, 
58210.0, {'gneJ207': -0.058035713}, {'gneJ207': 1}, {'gneJ207': 2}, 
58220.0, {'gneJ207': -0.04910714}, {'gneJ207': 1}, {'gneJ207': 2}, 
58230.0, {'gneJ207': -0.02232143}, {'gneJ207': 1}, {'gneJ207': 1}, 
58240.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58250.0, {'gneJ207': -0.03125}, {'gneJ207': 1}, {'gneJ207': 1}, 
58260.0, {'gneJ207': -0.09375}, {'gneJ207': 1}, {'gneJ207': 2}, 
58270.0, {'gneJ207': -0.09375}, {'gneJ207': 1}, {'gneJ207': 2}, 
58280.0, {'gneJ207': -0.12053572}, {'gneJ207': 2}, {'gneJ207': 4}, 
58290.0, {'gneJ207': -0.12053572}, {'gneJ207': 1}, {'gneJ207': 1}, 
58300.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58310.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58320.0, {'gneJ207': -0.02232143}, {'gneJ207': 2}, {'gneJ207': 2}, 
58330.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58340.0, {'gneJ207': -0.017857144}, {'gneJ207': 1}, {'gneJ207': 1}, 
58350.0, {'gneJ207': -0.04017857}, {'gneJ207': 1}, {'gneJ207': 2}, 
58360.0, {'gneJ207': -0.08035714}, {'gneJ207': 1}, {'gneJ207': 2}, 
58370.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58380.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58390.0, {'gneJ207': -0.013392857}, {'gneJ207': 1}, {'gneJ207': 1}, 
58400.0, {'gneJ207': -0.035714287}, {'gneJ207': 2}, {'gneJ207': 3}, 
58410.0, {'gneJ207': -0.05357143}, {'gneJ207': 1}, {'gneJ207': 1}, 
58420.0, {'gneJ207': -0.04017857}, {'gneJ207': 1}, {'gneJ207': 2}, 
58430.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58440.0, {'gneJ207': -0.04017857}, {'gneJ207': 1}, {'gneJ207': 1}, 
58450.0, {'gneJ207': -0.03125}, {'gneJ207': 1}, {'gneJ207': 1}, 
58460.0, {'gneJ207': -0.07589286}, {'gneJ207': 1}, {'gneJ207': 1}, 
58470.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 1}, 
58480.0, {'gneJ207': -0.017857144}, {'gneJ207': 1}, {'gneJ207': 1}, 
58490.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58500.0, {'gneJ207': -0.008928572}, {'gneJ207': 1}, {'gneJ207': 1}, 
58510.0, {'gneJ207': -0.15178572}, {'gneJ207': 6}, {'gneJ207': 6}, 
58520.0, {'gneJ207': -0.3392857}, {'gneJ207': 8}, {'gneJ207': 8}, 
58530.0, {'gneJ207': -0.50446427}, {'gneJ207': 6}, {'gneJ207': 7}, 
58540.0, {'gneJ207': -0.45982143}, {'gneJ207': 4}, {'gneJ207': 4}, 
58550.0, {'gneJ207': -0.16964285}, {'gneJ207': 1}, {'gneJ207': 3}, 
58560.0, {'gneJ207': -0.12053572}, {'gneJ207': 2}, {'gneJ207': 5}, 
58570.0, {'gneJ207': -0.35714287}, {'gneJ207': 3}, {'gneJ207': 7}, 
58580.0, {'gneJ207': -0.071428575}, {'gneJ207': 1}, {'gneJ207': 1}, 
58590.0, {'gneJ207': -0.14285715}, {'gneJ207': 1}, {'gneJ207': 2}, 
58600.0, {'gneJ207': -0.23214285}, {'gneJ207': 1}, {'gneJ207': 2}, 
58610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58620.0, {'gneJ207': -0.04910714}, {'gneJ207': 1}, {'gneJ207': 3}, 
58630.0, {'gneJ207': -0.116071425}, {'gneJ207': 2}, {'gneJ207': 3}, 
58640.0, {'gneJ207': -0.35714287}, {'gneJ207': 4}, {'gneJ207': 10}, 
58650.0, {'gneJ207': -0.93303573}, {'gneJ207': 6}, {'gneJ207': 16}, 
58660.0, {'gneJ207': -1.6785715}, {'gneJ207': 6}, {'gneJ207': 17}, 
58670.0, {'gneJ207': -2.517857}, {'gneJ207': 6}, {'gneJ207': 19}, 
58680.0, {'gneJ207': -1.0044643}, {'gneJ207': 3}, {'gneJ207': 7}, 
58690.0, {'gneJ207': -0.15178572}, {'gneJ207': 2}, {'gneJ207': 2}, 
58700.0, {'gneJ207': -0.2857143}, {'gneJ207': 5}, {'gneJ207': 5}, 
