57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57630.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57640.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57650.0, {'gneJ207': -0.05357143}, {'gneJ207': 1}, {'gneJ207': 4}, 
57660.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57670.0, {'gneJ207': -0.035714287}, {'gneJ207': 1}, {'gneJ207': 1}, 
57680.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57690.0, {'gneJ207': -0.02232143}, {'gneJ207': 2}, {'gneJ207': 2}, 
57700.0, {'gneJ207': -0.04910714}, {'gneJ207': 1}, {'gneJ207': 3}, 
57710.0, {'gneJ207': -0.04910714}, {'gneJ207': 1}, {'gneJ207': 1}, 
57720.0, {'gneJ207': -0.19642857}, {'gneJ207': 5}, {'gneJ207': 6}, 
57730.0, {'gneJ207': -0.2767857}, {'gneJ207': 6}, {'gneJ207': 8}, 
57740.0, {'gneJ207': -0.4732143}, {'gneJ207': 7}, {'gneJ207': 7}, 
57750.0, {'gneJ207': -0.5848214}, {'gneJ207': 6}, {'gneJ207': 8}, 
57760.0, {'gneJ207': -0.62946427}, {'gneJ207': 4}, {'gneJ207': 5}, 
57770.0, {'gneJ207': -0.38392857}, {'gneJ207': 2}, {'gneJ207': 3}, 
57780.0, {'gneJ207': -0.39285713}, {'gneJ207': 4}, {'gneJ207': 7}, 
57790.0, {'gneJ207': -0.6875}, {'gneJ207': 8}, {'gneJ207': 10}, 
57800.0, {'gneJ207': -0.78571427}, {'gneJ207': 10}, {'gneJ207': 10}, 
57810.0, {'gneJ207': -0.66964287}, {'gneJ207': 7}, {'gneJ207': 7}, 
57820.0, {'gneJ207': -0.9910714}, {'gneJ207': 7}, {'gneJ207': 8}, 
57830.0, {'gneJ207': -1.4196428}, {'gneJ207': 9}, {'gneJ207': 11}, 
57840.0, {'gneJ207': -1.2410715}, {'gneJ207': 9}, {'gneJ207': 9}, 
57850.0, {'gneJ207': -1.0892857}, {'gneJ207': 7}, {'gneJ207': 8}, 
57860.0, {'gneJ207': -0.83035713}, {'gneJ207': 5}, {'gneJ207': 5}, 
