58290.0, {'gneJ207': -0.004464286}, {'gneJ207': 1}, {'gneJ207': 1}, 
58300.0, {'gneJ207': -0.04910714}, {'gneJ207': 1}, {'gneJ207': 1}, 
58310.0, {'gneJ207': -0.06696428}, {'gneJ207': 2}, {'gneJ207': 4}, 
58320.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58330.0, {'gneJ207': -0.07589286}, {'gneJ207': 2}, {'gneJ207': 3}, 
58340.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58350.0, {'gneJ207': -0.02232143}, {'gneJ207': 1}, {'gneJ207': 1}, 
58360.0, {'gneJ207': -0.11160714}, {'gneJ207': 2}, {'gneJ207': 4}, 
58370.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58380.0, {'gneJ207': -0.02232143}, {'gneJ207': 1}, {'gneJ207': 1}, 
58390.0, {'gneJ207': -0.13392857}, {'gneJ207': 2}, {'gneJ207': 4}, 
58400.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 1}, 
58410.0, {'gneJ207': -0.071428575}, {'gneJ207': 1}, {'gneJ207': 1}, 
58420.0, {'gneJ207': -0.0625}, {'gneJ207': 1}, {'gneJ207': 3}, 
58430.0, {'gneJ207': -0.32142857}, {'gneJ207': 3}, {'gneJ207': 9}, 
58440.0, {'gneJ207': -0.29017857}, {'gneJ207': 2}, {'gneJ207': 4}, 
58450.0, {'gneJ207': -0.6026786}, {'gneJ207': 3}, {'gneJ207': 8}, 
58460.0, {'gneJ207': -0.96428573}, {'gneJ207': 4}, {'gneJ207': 9}, 
58470.0, {'gneJ207': -1.4375}, {'gneJ207': 4}, {'gneJ207': 13}, 
58480.0, {'gneJ207': -1.1517857}, {'gneJ207': 2}, {'gneJ207': 7}, 
58490.0, {'gneJ207': -1.5446428}, {'gneJ207': 5}, {'gneJ207': 10}, 
58500.0, {'gneJ207': -2.017857}, {'gneJ207': 7}, {'gneJ207': 12}, 
58510.0, {'gneJ207': -0.69196427}, {'gneJ207': 9}, {'gneJ207': 9}, 
58520.0, {'gneJ207': -1.1607143}, {'gneJ207': 9}, {'gneJ207': 12}, 
58530.0, {'gneJ207': -1.2544643}, {'gneJ207': 11}, {'gneJ207': 15}, 
58540.0, {'gneJ207': -1.9241072}, {'gneJ207': 11}, {'gneJ207': 15}, 
58550.0, {'gneJ207': -1.6071428}, {'gneJ207': 9}, {'gneJ207': 9}, 
58560.0, {'gneJ207': -2.049107}, {'gneJ207': 9}, {'gneJ207': 10}, 
58570.0, {'gneJ207': -2.1919644}, {'gneJ207': 11}, {'gneJ207': 12}, 
58580.0, {'gneJ207': -2.6160715}, {'gneJ207': 11}, {'gneJ207': 12}, 
58590.0, {'gneJ207': -3.1517856}, {'gneJ207': 11}, {'gneJ207': 12}, 
58600.0, {'gneJ207': -2.3526785}, {'gneJ207': 8}, {'gneJ207': 9}, 
58610.0, {'gneJ207': -1.6607143}, {'gneJ207': 6}, {'gneJ207': 6}, 
