57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57630.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57640.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57650.0, {'gneJ207': -0.04017857}, {'gneJ207': 1}, {'gneJ207': 4}, 
57660.0, {'gneJ207': -0.3794643}, {'gneJ207': 3}, {'gneJ207': 12}, 
57670.0, {'gneJ207': -0.5223214}, {'gneJ207': 3}, {'gneJ207': 7}, 
57680.0, {'gneJ207': -1.0089285}, {'gneJ207': 5}, {'gneJ207': 17}, 
57690.0, {'gneJ207': -0.5401786}, {'gneJ207': 8}, {'gneJ207': 11}, 
57700.0, {'gneJ207': -0.87053573}, {'gneJ207': 6}, {'gneJ207': 13}, 
57710.0, {'gneJ207': -1.3169643}, {'gneJ207': 6}, {'gneJ207': 13}, 
57720.0, {'gneJ207': -2.0625}, {'gneJ207': 9}, {'gneJ207': 19}, 
57730.0, {'gneJ207': -3.1026785}, {'gneJ207': 12}, {'gneJ207': 28}, 
57740.0, {'gneJ207': -2.611607}, {'gneJ207': 14}, {'gneJ207': 26}, 
57750.0, {'gneJ207': -3.75}, {'gneJ207': 16}, {'gneJ207': 28}, 
57760.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 32}, 
57770.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 33}, 
57780.0, {'gneJ207': -4.0}, {'gneJ207': 17}, {'gneJ207': 35}, 
57790.0, {'gneJ207': -4.0}, {'gneJ207': 18}, {'gneJ207': 35}, 
57800.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 28}, 
57810.0, {'gneJ207': -4.0}, {'gneJ207': 15}, {'gneJ207': 27}, 
57820.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 28}, 
57830.0, {'gneJ207': -4.0}, {'gneJ207': 16}, {'gneJ207': 31}, 
57840.0, {'gneJ207': -4.0}, {'gneJ207': 15}, {'gneJ207': 26}, 
57850.0, {'gneJ207': -4.0}, {'gneJ207': 15}, {'gneJ207': 26}, 
57860.0, {'gneJ207': -4.0}, {'gneJ207': 14}, {'gneJ207': 25}, 
