57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57630.0, {'gneJ207': -0.008928572}, {'gneJ207': 1}, {'gneJ207': 1}, 
57640.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57650.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57660.0, {'gneJ207': -0.02232143}, {'gneJ207': 1}, {'gneJ207': 2}, 
57670.0, {'gneJ207': -0.14732143}, {'gneJ207': 2}, {'gneJ207': 3}, 
57680.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57690.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 2}, 
57700.0, {'gneJ207': -0.15625}, {'gneJ207': 2}, {'gneJ207': 4}, 
57710.0, {'gneJ207': -0.44642857}, {'gneJ207': 6}, {'gneJ207': 10}, 
57720.0, {'gneJ207': -0.32142857}, {'gneJ207': 9}, {'gneJ207': 9}, 
57730.0, {'gneJ207': -0.8035714}, {'gneJ207': 11}, {'gneJ207': 14}, 
57740.0, {'gneJ207': -1.4508928}, {'gneJ207': 11}, {'gneJ207': 15}, 
57750.0, {'gneJ207': -1.7366072}, {'gneJ207': 14}, {'gneJ207': 20}, 
57760.0, {'gneJ207': -2.732143}, {'gneJ207': 16}, {'gneJ207': 23}, 
57770.0, {'gneJ207': -3.267857}, {'gneJ207': 14}, {'gneJ207': 23}, 
57780.0, {'gneJ207': -2.9776785}, {'gneJ207': 13}, {'gneJ207': 17}, 
57790.0, {'gneJ207': -3.700893}, {'gneJ207': 14}, {'gneJ207': 18}, 
57800.0, {'gneJ207': -3.53125}, {'gneJ207': 13}, {'gneJ207': 17}, 
57810.0, {'gneJ207': -4.0}, {'gneJ207': 14}, {'gneJ207': 17}, 
57820.0, {'gneJ207': -4.0}, {'gneJ207': 14}, {'gneJ207': 18}, 
57830.0, {'gneJ207': -4.0}, {'gneJ207': 13}, {'gneJ207': 15}, 
57840.0, {'gneJ207': -4.0}, {'gneJ207': 13}, {'gneJ207': 15}, 
57850.0, {'gneJ207': -4.0}, {'gneJ207': 11}, {'gneJ207': 16}, 
57860.0, {'gneJ207': -4.0}, {'gneJ207': 10}, {'gneJ207': 17}, 
57870.0, {'gneJ207': -4.0}, {'gneJ207': 10}, {'gneJ207': 18}, 
57880.0, {'gneJ207': -4.0}, {'gneJ207': 10}, {'gneJ207': 19}, 
57890.0, {'gneJ207': -4.0}, {'gneJ207': 10}, {'gneJ207': 19}, 
57900.0, {'gneJ207': -3.3125}, {'gneJ207': 8}, {'gneJ207': 12}, 
57910.0, {'gneJ207': -2.3660715}, {'gneJ207': 6}, {'gneJ207': 9}, 
57920.0, {'gneJ207': -1.1696428}, {'gneJ207': 4}, {'gneJ207': 4}, 
57930.0, {'gneJ207': -0.4642857}, {'gneJ207': 2}, {'gneJ207': 2}, 
57940.0, {'gneJ207': -0.58035713}, {'gneJ207': 5}, {'gneJ207': 5}, 
57950.0, {'gneJ207': -0.102678575}, {'gneJ207': 2}, {'gneJ207': 2}, 
57960.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57970.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57980.0, {'gneJ207': -0.004464286}, {'gneJ207': 1}, {'gneJ207': 1}, 
57990.0, {'gneJ207': -0.017857144}, {'gneJ207': 1}, {'gneJ207': 1}, 
