57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57630.0, {'gneJ207': -0.04017857}, {'gneJ207': 1}, {'gneJ207': 1}, 
57640.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57650.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57660.0, {'gneJ207': -0.03125}, {'gneJ207': 1}, {'gneJ207': 3}, 
57670.0, {'gneJ207': -0.15625}, {'gneJ207': 2}, {'gneJ207': 3}, 
57680.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57690.0, {'gneJ207': -0.084821425}, {'gneJ207': 3}, {'gneJ207': 3}, 
57700.0, {'gneJ207': -0.35714287}, {'gneJ207': 9}, {'gneJ207': 9}, 
57710.0, {'gneJ207': -0.5}, {'gneJ207': 10}, {'gneJ207': 10}, 
57720.0, {'gneJ207': -0.69196427}, {'gneJ207': 8}, {'gneJ207': 8}, 
57730.0, {'gneJ207': -0.8839286}, {'gneJ207': 7}, {'gneJ207': 7}, 
57740.0, {'gneJ207': -1.0267857}, {'gneJ207': 6}, {'gneJ207': 8}, 
57750.0, {'gneJ207': -0.83035713}, {'gneJ207': 4}, {'gneJ207': 5}, 
57760.0, {'gneJ207': -1.15625}, {'gneJ207': 6}, {'gneJ207': 8}, 
57770.0, {'gneJ207': -1.2723215}, {'gneJ207': 9}, {'gneJ207': 10}, 
57780.0, {'gneJ207': -1.8169643}, {'gneJ207': 10}, {'gneJ207': 14}, 
57790.0, {'gneJ207': -1.6026785}, {'gneJ207': 12}, {'gneJ207': 14}, 
57800.0, {'gneJ207': -1.5892857}, {'gneJ207': 12}, {'gneJ207': 12}, 
57810.0, {'gneJ207': -1.1696428}, {'gneJ207': 8}, {'gneJ207': 8}, 
57820.0, {'gneJ207': -0.58035713}, {'gneJ207': 4}, {'gneJ207': 5}, 
57830.0, {'gneJ207': -0.4419643}, {'gneJ207': 2}, {'gneJ207': 4}, 
57840.0, {'gneJ207': -0.73214287}, {'gneJ207': 5}, {'gneJ207': 10}, 
57850.0, {'gneJ207': -0.18303572}, {'gneJ207': 4}, {'gneJ207': 4}, 
57860.0, {'gneJ207': -0.20982143}, {'gneJ207': 3}, {'gneJ207': 6}, 
57870.0, {'gneJ207': -0.55803573}, {'gneJ207': 4}, {'gneJ207': 9}, 
57880.0, {'gneJ207': -1.0089285}, {'gneJ207': 5}, {'gneJ207': 13}, 
57890.0, {'gneJ207': -1.1383928}, {'gneJ207': 4}, {'gneJ207': 9}, 
57900.0, {'gneJ207': -1.5401785}, {'gneJ207': 4}, {'gneJ207': 9}, 
57910.0, {'gneJ207': -1.4732143}, {'gneJ207': 4}, {'gneJ207': 7}, 
57920.0, {'gneJ207': -0.26339287}, {'gneJ207': 1}, {'gneJ207': 1}, 
57930.0, {'gneJ207': -0.058035713}, {'gneJ207': 1}, {'gneJ207': 2}, 
57940.0, {'gneJ207': -0.14732143}, {'gneJ207': 1}, {'gneJ207': 2}, 
57950.0, {'gneJ207': -0.26785713}, {'gneJ207': 2}, {'gneJ207': 3}, 
57960.0, {'gneJ207': -0.44642857}, {'gneJ207': 3}, {'gneJ207': 5}, 
57970.0, {'gneJ207': -0.66964287}, {'gneJ207': 3}, {'gneJ207': 6}, 
57980.0, {'gneJ207': -0.96428573}, {'gneJ207': 4}, {'gneJ207': 8}, 
57990.0, {'gneJ207': -0.13392857}, {'gneJ207': 1}, {'gneJ207': 3}, 
58000.0, {'gneJ207': -0.22321428}, {'gneJ207': 2}, {'gneJ207': 3}, 
58010.0, {'gneJ207': -0.026785715}, {'gneJ207': 2}, {'gneJ207': 2}, 
58020.0, {'gneJ207': -0.084821425}, {'gneJ207': 1}, {'gneJ207': 2}, 
58030.0, {'gneJ207': -0.07589286}, {'gneJ207': 1}, {'gneJ207': 1}, 
58040.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58050.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 1}, 
58060.0, {'gneJ207': -0.071428575}, {'gneJ207': 1}, {'gneJ207': 1}, 
58070.0, {'gneJ207': -0.13839285}, {'gneJ207': 1}, {'gneJ207': 2}, 
58080.0, {'gneJ207': -0.04910714}, {'gneJ207': 1}, {'gneJ207': 2}, 
58090.0, {'gneJ207': -0.008928572}, {'gneJ207': 1}, {'gneJ207': 1}, 
58100.0, {'gneJ207': -0.10714286}, {'gneJ207': 2}, {'gneJ207': 3}, 
58110.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
